name,slug,latitude,longitude
Thann—St-Jacques,thann-st-jacques,47.8133155,7.0938473
Givors Canal,givors-canal,45.5957662,4.7725754
Aspach-le-Haut,aspach-le-haut,47.65,7.233333
Aspach-le-Haut,aspach-le-haut,47.769396,7.142379
Aspach-le-Bas,aspach-le-bas,47.759832,7.152375
Avignon Centre,avignon-centre,43.9419,4.805281
Le Mans,le-mans,47.995034,0.19014
Joué-lès-Tours Berthelot,joue-les-tours-berthelot,47.35,0.666667
Eu,eu,50.05,1.416667
Eu-la-Mouillette,eu-la-mouillette,50.0489067148509,1.42536878585815
Eu,eu,50.0541988,1.416837
Alleyras,alleyras,44.919217,3.673517
Le Havre,le-havre,49.492996,0.125677
Harfleur,harfleur,49.506596,0.198269
Harfleur-Halte,harfleur-halte,49.5059181,0.192085
Harfleur,harfleur,49.5136336,0.1989828
Montivilliers,montivilliers,49.55,0.2
Montivilliers,montivilliers,49.5429758,0.189426
Dieppe,dieppe,49.921788,1.081133
Fontainebleau—Avon,fontainebleau-avon,48.416371,2.72634
Péronne,peronne,50,2.65
Péronne Centre,peronne-centre,49.934997,2.938987
Péronne la Chapelette,peronne-la-chapelette,49.924488,2.933359
Albi Ville,albi-ville,43.92238,2.137958
Orléans Centre,orleans-centre,47.90796,1.904666
Vendôme,vendome,47.8021498,1.0678728
Fréjus,frejus,43.432032,6.732941
Fontenay-le-Comte,fontenay-le-comte,46.4678595773525,-0.809592604637146
Acheux-Franleu,acheux-franleu,50.0826021,1.6574207
St-Hilaire-de-Riez,st-hilaire-de-riez,,
St-Hilaire-de-Riez,st-hilaire-de-riez,46.7166736,-1.9496838
St-Hilaire-de-Riez Centre,st-hilaire-de-riez-centre,46.718728,-1.944618
La Clayette—Baudemont,la-clayette-baudemont,46.2881469,4.2984195
Tours,tours,47.389781,0.693703
Cambrai,cambrai,50.17662,3.24118
Aiguebelle,aiguebelle,45.5437225,6.3067175
Agen,agen,44.208311,0.620932
Ervy-le-Châtel Halles,ervy-le-chatel-halles,48.033333,3.916667
Fays-la-Chapelle,fays-la-chapelle,48.133333,4.016667
Agonac,agonac,45.2865966,0.7486706
Limoges Bénédictins,limoges-benedictins,45.836089,1.267356
Modane,modane,45.193365,6.658161
Agos,agos,43.033333,-0.066667
Argenton-sur-Creuse,argenton-sur-creuse,46.583333,1.516667
Argenton-sur-Creuse,argenton-sur-creuse,46.592248,1.518305
Argenton-sur-Creuse Gare Routière,argenton-sur-creuse-gare-routiere,46.587009,1.503158
Roye,roye,49.6980500494537,2.78972268104553
Agay,agay,43.4313701,6.8564997
Versailles,versailles,48.7526,2.5735
Versailles-Chantiers,versailles-chantiers,48.7958264,2.1358827
Villeneuve-au-Chemin,villeneuve-au-chemin,48.082895,3.844281
Salvagnac,salvagnac,43.916667,1.7
Maussac,maussac,45.483333,2.15
Aix-en-Provence TGV,aix-en-provence-tgv,43.455237,5.317534
Moustéru,mousteru,48.5074512,-3.2435052
Aillevillers,aillevillers,47.9138876,6.3372988
Ailly-sur-Noye,ailly-sur-noye,49.75448,2.36419
Ailly-sur-Somme,ailly-sur-somme,49.92838,2.20059
Aigues-Vives (Gard),aigues-vives-gard,43.733333,4.166667
Aiserey,aiserey,47.170501,5.1582447
Vicq-sur-Breuilh,vicq-sur-breuilh,45.645578,1.384455
St-Hilaire-Bonneval,st-hilaire-bonneval,45.716667,1.366667
Boisseuil,boisseuil,45.766667,1.316667
Azay-sur-Indre,azay-sur-indre,47.2,0.95
Mouroux,mouroux,48.8139949,3.0423421
Alet-les-Bains,alet-les-bains,42.9974445,2.2518325
Allassac,allassac,45.2589385,1.4731471
Albens,albens,45.785946,5.9483418
Pierre-Buffière Ville,pierre-buffiere-ville,45.7,1.35
Aix la Marsalouse,aix-la-marsalouse,45.6142062667347,2.39844739437103
La Ferté-sous-Jouarre,la-ferte-sous-jouarre,48.950741,3.125577
Merten,merten,49.25,6.666667
La Ferté-Milon,la-ferte-milon,49.1797269,3.1207223
Neuilly-St-Front,neuilly-st-front,49.1871466,3.2710249
Oulchy-Breny,oulchy-breny,49.1876743,3.3524421
Albi Madeleine,albi-madeleine,43.938011,2.1409629
Ambérieu,amberieu,45.954008,5.342388
Auxon Église,auxon-eglise,48.092235,3.923863
Rehainviller,rehainviller,48.566667,6.466667
St-Pierremont,st-pierremont,48.433333,6.583333
Leintrey,leintrey,48.616667,6.733333
Amenoncourt,amenoncourt,48.626383,6.78441
Magnac Bourg,magnac-bourg,45.61815,1.43097
Aigues-Mortes,aigues-mortes,43.5709008,4.1912102
Meuzac,meuzac,45.55,1.433333
Orville,orville,47.55,5.2
Torcenay,torcenay,47.813425,5.470142
Rosoy-sur-Amance,rosoy-sur-amance,47.833333,5.533333
Bize,bize,47.833333,5.633333
Anrosey,anrosey,47.833333,5.666667
Pisseloup,pisseloup,47.833333,5.733333
Bétoncourt-sur-Mance,betoncourt-sur-mance,47.830622,5.759083
Vernois-sur-Mance,vernois-sur-mance,47.851944,5.794042
Andelot,andelot,46.8594671,5.923584
Angers,angers,47.466667,-0.55
Angers Maître École,angers-maitre-ecole,47.4670899,-0.531894
